High	OBS-001	unver	Repo-scan exposure alerts are silently auto-resolved by the next monitor run (rebaseline warnings within the same run)	crates/core/src/vault.rs:2044-2082, 2102-2112, 5121-5153 (with crates/core/src/monitor.rs:140-150)
High	ROT-001	unver	Lost revoke response or crash after revocation permanently wedges the rotation in OLD_DISABLED with no exit path	crates/core/src/vault.rs:7057-7077, 7244-7278, 7343-7353, 7386-7396, 7421-7427
Informational	CLI-04	CONFIRMED	The global `--json` flag is silently ignored by most mutating commands, producing non-JSON or mixed stdout	apps/cli/src/provider_cmd.rs:203-232 (and many others)
Informational	CLI-05	CONFIRMED	render::sanitize strips C0/C1 control chars but not Unicode bidirectional/format characters	apps/cli/src/render.rs:27-31
Informational	CLI-06	CONFIRMED	`run` exit paths use std::process::exit, bypassing UnlockedVault Drop (vault-key zeroization)	apps/cli/src/run_cmd.rs:132, 154
Informational	CRYPTO-04	CONFIRMED	Decrypted plaintext copy is freed without zeroization on the invalid-UTF-8 decrypt error path	crates/core/src/vault.rs:1495-1496, 2397-2398, 4461-4463, 4488-4489, 2645-2646, 5362-5363, 5595-5596
Informational	CRYPTO-05	CONFIRMED	key_wrap_mode and project KDF params/salt are not bound into any AAD (tamper -> DoS, not disclosure)	crates/core/src/vault.rs:846-870, 985-1010
Informational	DEST-11	CONFIRMED	Sentinel overloading in read(): Ok(None)=write-only vs Ok(Some(""))=absent misclassifies binary AWS secrets and blanked values as `present_unverifiable`	crates/core/src/destinations.rs:1390-1410 (AWS read), 789-803 (keychain absent sentinel), 1018-1026 (Windows); consumers vault.rs:6268-6281, 6502-6517
Informational	DEST-12	CONFIRMED	Drift verification inherits the whitespace-trimming duplicate-detection fingerprint, so read-back cannot detect leading/trailing-whitespace drift	crates/core/src/reuse.rs:15-27 (trim), used at vault.rs:6270 and 6504
Informational	DEST-13	CONFIRMED	Transient unzeroized copies of secrets during signing and command construction (defense-in-depth)	crates/core/src/destinations.rs:1190-1193 (AWS4+secret String), 1495 and 1640 (Bearer header Strings), 752-757 (keychain command line containing the plaintext)
Informational	FS-05	unver	Orphaned atomic-write temp holding plaintext secrets is only swept in directories of recorded exports; a crash during the first overwrite-export to a virgin directory leaves it unswept	crates/core/src/envgov.rs:569-604 (sweep_orphaned_temp_files); 394-410 (atomic_write)
Informational	FS-06	unver	UTF-8 BOM (or any non-ASCII leading byte) makes the first .env entry parse as Malformed, silently skipping a first-line secret on import	crates/core/src/envfile.rs:330-344 (parse dispatch); 101-109 (valid_key)
Informational	FS-07	unver	Exported plaintext .env is owner-restricted only on Unix; the export threat-model bullet omits the Windows-ACL caveat carried by the vault/backup bullet	crates/core/src/envgov.rs:353-357 and 389-393 (cfg(unix) mode 0600)
Informational	FS-08	unver	Export TTL expiry is compared as RFC3339 strings; trailing-zero-trimmed subseconds make the comparison not strictly chronological within the expiry second	crates/core/src/envgov.rs:512-517 (expired computation); crates/core/src/clock.rs:14-15
Informational	FS-09	unver	Desktop env_example_write is an unconstrained arbitrary-path/arbitrary-content file write gated only by an unlocked vault	apps/desktop/src-tauri/src/main.rs:1409-1418
Informational	GScan-05	CONFIRMED	Trivial detection-evasion gaps (leading NUL / >2000-char lines / >5 MiB / UTF-16) and fail-open hook are undocumented, so the scan is treated as a guarantee it is not	crates/core/src/scanner.rs:284-294, 425-442; gitrepo.rs 104, 322-332; hooks.rs 27-31
Informational	INFO-01	unver	Vault-state mutex uses .expect("vault state mutex poisoned") in every command — a single panic while holding the lock permanently disables all commands and prevents key zeroization / WAL checkpoint on lock	apps/desktop/src-tauri/src/main.rs:94, 127, 148, 158, 166, 854
Informational	INFO-02	unver	Provider pagination accumulates all pages in memory before writing (up to ~800MiB/endpoint at the 4MiB×200-page caps) and worst-case request volume per sync is very large — bounded, but the bounds are generous and all of it runs under the desktop mutex	crates/core/src/openai.rs:31-38, 159-201, 3035-3092 (vault.rs openai_sync)
