GScan-01	CONFIRMED	unchanged
GScan-02	CONFIRMED	unchanged
GScan-03	CONFIRMED	unchanged
GScan-04	CONFIRMED	unchanged
GScan-05	CONFIRMED	unchanged
IPC-01	CONFIRMED	unchanged
IPC-02	CONFIRMED	unchanged
PI-01	CONFIRMED	unchanged
IPC-05	CONFIRMED	unchanged
IPC-04	CONFIRMED	unchanged
PI-03	CONFIRMED	unchanged
PI-04	CONFIRMED	unchanged
PI-02	CONFIRMED	unchanged
NET-02	CONFIRMED	unchanged
PI-06	CONFIRMED	unchanged
IPC-03	REFUTED	Informational
NET-01	CONFIRMED	unchanged
PI-07	CONFIRMED	unchanged
NET-03	CONFIRMED	unchanged
PI-05	CONFIRMED	unchanged
NET-04	CONFIRMED	unchanged
CLI-03	CONFIRMED	unchanged
CLI-01	CONFIRMED	unchanged
CLI-05	CONFIRMED	unchanged
CLI-06	CONFIRMED	unchanged
DEST-02	CONFIRMED	unchanged
DEST-01	CONFIRMED	unchanged
CLI-02	CONFIRMED	unchanged
DEST-03	CONFIRMED	unchanged
CLI-04	CONFIRMED	unchanged
DEST-06	CONFIRMED	unchanged
DEST-09	CONFIRMED	unchanged
DEST-04	CONFIRMED	unchanged
DEST-08	CONFIRMED	unchanged
DEST-05	CONFIRMED	unchanged
DEST-07	CONFIRMED	unchanged
DEST-11	CONFIRMED	unchanged
DEST-13	CONFIRMED	unchanged
DEST-12	CONFIRMED	unchanged
CRYPTO-03	CONFIRMED	unchanged
CRYPTO-04	CONFIRMED	unchanged
CRYPTO-05	CONFIRMED	unchanged
DEST-10	CONFIRMED	unchanged
CRYPTO-01	CONFIRMED	unchanged
CONC-04	CONFIRMED	unchanged
CONC-01	CONFIRMED	unchanged
CRYPTO-02	REFUTED	Informational
CONC-03	CONFIRMED	unchanged
